City_ID,State,doctor_availability_rate,hospital_availability_rate,annual_per_capita,population_density,death_rate
1000,s104,773.1775272,823.5791673,21.62265505,27.6062628,7.448699614
1001,s105,525.4930294,607.3025372,19.1232862,40.78686392,10.0811357
1002,s101,574.6156645,627.912321,17.67025521,41.32766952,9.795440552
1003,s104,593.601517,640.8424997,19.23426715,34.23516785,9.545358032
1004,s103,462.6649649,533.4196843,16.17198472,44.21835567,10.64966788
1005,s102,422.3077428,483.1925986,17.53703627,40.91796109,10.66524727
1006,s102,687.1547925,802.2602993,21.98843526,32.01261606,8.349656454
1007,s104,616.2866357,644.735179,19.966891,34.7896376,9.15896694
1008,s101,453.7602662,569.8189506,16.96109811,46.59983789,10.75712509
1009,s105,724.0331275,811.5653772,21.08474312,28.42378434,7.138971256
1010,s102,812.2560046,926.6613616,23.45182255,27.86073162,7.170133394
1011,s103,743.5851916,801.8528849,19.80054553,35.22463512,8.429442555
1012,s104,98.84398165,137.0479362,6.038093878,53.32980918,13.10590469
1013,s102,703.5051716,761.678841,21.91823823,33.87889037,8.314669237
1014,s104,294.2976569,448.2102564,13.07142611,48.35289351,11.72863089
1015,s104,718.2661398,813.9272205,24.34706202,37.13766091,
1016,s103,701.2206819,843.1104724,19.95826724,33.01918653,8.03137329
1017,s101,660.1246252,691.0242743,19.63274483,32.73119071,9.52546876
1018,s105,589.6807571,664.2778775,17.05262245,36.72706171,9.20267096
1019,s102,734.3743191,766.8813635,22.98022985,34.10951348,7.492663169
1020,s103,590.55123,700.9278369,19.56370605,36.60449667,8.56571538
1021,s105,576.5147416,725.0307083,16.62738307,36.49973249,9.759107375
1022,s105,715.905268,715.4444966,21.7649205,33.17171088,8.360922914
1023,s102,499.1475975,588.6045668,16.21056682,41.52333253,9.934268172
1024,s102,268.2284958,294.7467173,7.658186821,48.63714134,11.91566391
1025,s103,116.4479138,144.286697,7.085521606,51.28269669,13.23025951
1026,s104,650.4024325,694.2119273,19.90966252,41.21492437,9.881762601
1027,s101,674.4104869,856.6384635,22.55966121,32.00261711,7.888511252
1028,s101,88.81754845,177.3486173,6.36840462,48.59775786,12.76150968
1029,s101,540.0269524,643.873797,15.37843744,39.11428984,9.987606154
1030,s104,484.1303252,490.5958061,14.55334435,44.8660723,11.50261201
1031,s102,480.8193038,632.8425301,14.63975301,41.87857801,10.67106719
1032,s103,634.5112419,761.9226761,18.21211988,35.50188898,8.703466227
1033,s101,614.4668772,598.2176543,18.01942069,14.70442948,3.435721752
1034,s102,676.7370221,731.6360558,21.89970467,32.24003732,8.152259975
1035,s102,732.3653143,852.7759464,23.19535081,28.42782413,7.473672356
1036,s105,721.4482267,824.9400044,21.4395096,31.05362686,7.829773672
1037,s103,606.7623992,662.6952004,19.39897516,46.61552522,7.655197615
1038,s104,707.1367301,782.1067839,22.5304841,31.56029186,7.473388145
1039,s105,554.6132583,737.9709449,14.93706388,39.7873886,9.978845779
1040,s104,708.4517739,760.9008125,20.51629252,35.50640966,7.999617501
1041,s104,614.3393099,746.8056412,19.16362705,33.95872134,9.225338611
1042,s101,654.3503087,802.449411,21.53684014,29.71326921,7.946742318
1043,s104,723.9082545,779.508519,21.80286889,33.14404763,8.041301864
1044,s102,576.5591282,658.1243521,15.43050135,41.88733707,10.42580945
1045,s105,624.9992785,687.3816658,20.35875138,36.87510764,
1046,s105,456.9481949,596.2068827,16.32533347,44.53428945,10.73616734
1047,s101,463.8693749,560.5908733,14.61734995,40.70317136,10.42011709
1048,s101,574.0649115,627.4280512,15.47754054,38.04658843,10.11210228
1049,s101,652.9579533,688.3673144,19.02826338,33.20413682,8.785870096
